class	subclass	code	code_desc
Other	Paroless	ID6	Parolees, Indochinese
Other	Paroless	M93	Parolees, Hungarian previously admitted for lawful permanent resident status
Other	Paroless	NA3	Children born abroad to alien residents
			
			
Other	Nicaraguan and Central American Relief Act (NACARA Section 202, P.L. 105-100)	NC6	Principals
Other	Nicaraguan and Central American Relief Act (NACARA Section 202, P.L. 105-100)	NC7	Spouses of NC6
Other	Nicaraguan and Central American Relief Act (NACARA Section 202, P.L. 105-100)	NC8	Children of NC6
Other	Nicaraguan and Central American Relief Act (NACARA Section 202, P.L. 105-100)	NC9	Unmarried sons/daughters of NC6
			
			
Other	Cancellation of removal	Z13	Sec. 244, P.L. 89-236, subject to 4,000 annual limit
Other	Cancellation of removal	Z14	Battered spouses or children (Violence Against Women Act), P.L. 103-322 of 1994, subject to 4,000 annual limit
Other	Cancellation of removal	Z15	Salvadoran, Guatemalan and former Soviet bloc country nationals (NACARA Section 203, P.L. 105-100 of 1997)
Other	Cancellation of removal	Z56	Crewmen who entered on or before June 30, 1964 and are immediate relatives of U.S. citizens or special immigrants
Other	Cancellation of removal	Z57	Crewmen who entered on or before June 30, 1964 and are preference or non-preference immigrants
Other	Cancellation of removal	Z11	Preference or non-preference immigrants (other than crewmen)
			
			
			
			
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HA6	Haitian asylum applicants
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HB6	Haitian parolees
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HC6	Haitian children without parents
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HD6	Haitian children orphaned in the United States
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HE6	Haitian children abandoned by parents
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HA7	Spouses of HA6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HB7	Spouses of HB6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HC7	Spouses of HC6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HD7	Spouses of HD6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HE7	Spouses of HE6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HA8	Children of HA6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HB8	Children of HB6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HC8	Children of HC6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HD8	Children of HD6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HE8	Children of HE6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HA9	Unmarried sons/daughters of HA6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HB9	Unmarried sons/daughters of HB6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HC9	Unmarried sons/daughters of HC6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HD9	Unmarried sons/daughters of HD6
Other	Haitian Refugee Immigration Fairness Act (HRIFA, P.L. 105-277)	HE9	Unmarried sons/daughters of HE6
			
Other	IRCA legalization	W16	Entered without inspection before 1/1/82
Other	IRCA legalization	W26	Entered as nonimmigrant and overstayed visa before 1/1/82
Other	IRCA legalization	W36	Blanket enforced voluntary departure (EVD) group
Other	IRCA legalization	S16	Seasonal Agricultural Workers (SAW), worked at least 90 days during each year ending May 1, 1984, 1985, and 1986
Other	IRCA legalization	S26	Seasonal Agricultural Workers (SAW), worked at least 90 days during the year ending on May 1, 1986
			
			
Other	IRCA legalization dependents	LB1	Spouses of legalized aliens, new arrivals
Other	IRCA legalization dependents	CB1	Spouses of legalized aliens, new arrivals, conditional
Other	IRCA legalization dependents	LB6	Spouses of legalized aliens, adjustments
Other	IRCA legalization dependents	CB6	Spouses of legalized aliens, adjustments, conditional
Other	IRCA legalization dependents	LB2	Children of LB1 or LB6, new arrivals
Other	IRCA legalization dependents	CB2	Children of CB1 or CB6, new arrivals, conditional
Other	IRCA legalization dependents	LB7	Children of LB1 or LB6, adjustments
Other	IRCA legalization dependents	CB7	Children of CB1 or CB6, adjustments, conditional
			
Other	Other classes	AA1	Natives of certain adversely affected foreign states, new arrivals
Other	Other classes	AA6	Natives of certain adversely affected foreign states, adjustments
Other	Other classes	AA2	Spouses of AA1 or AA6, new arrivals
Other	Other classes	AA7	Spouses of AA1 or AA6, adjustments
Other	Other classes	AA3	Children of AA1 or AA6, new arrivals
Other	Other classes	AA8	Children of AA1 or AA6, adjustments
Other	Other classes	AM1	Amerasians, born in Vietnam between 1/1/62-1/1/76, new arrivals
Other	Other classes	AM6	Amerasians, born in Vietnam between 1/1/62-1/1/76, adjustments
Other	Other classes	AM2	Spouses or children of AM1 or AM6, new arrivals
Other	Other classes	AM7	Spouses or children of AM1 or AM6, adjustments
Other	Other classes	AM3	Mothers, guardians, or next of kin of AM1 or AM6, new arrivals
Other	Other classes	AM8	Mothers, guardians, or next of kin of AM1 or AM6, adjustments
Other	Other classes	DS1	Individuals born under diplomatic status, adjustments,
Other	Other classes	HH6	Parolees adjusting under the Help HAITI Act of 2010, adjustments
Other	Other classes	HK1	Hong Kong business employees, new arrivals
Other	Other classes	HK6	Hong Kong business employees, adjustments
Other	Other classes	HK2	Spouses of HK1 or HK6, new arrivals
Other	Other classes	HK7	Spouses of HK1 or HK6, adjustments
Other	Other classes	HK3	Children of HK1 or HK6, new arrivals
Other	Other classes	HK8	Children of HK1 or HK6, adjustments
Other	Other classes	CH6	Cuban Haitian entrants, adjustments (P.L. 99-603)
Other	Other classes	S13	American Indians born in Canada, new arrivals
Other	Other classes	DT1	Natives of Tibet who continuously resided in Nepal or India (Displaced Tibetan), new arrivals
Other	Other classes	DT6	Natives of Tibet who continuously resided in Nepal or India (Displaced Tibetan), adjustments
Other	Other classes	DT2	Spouses of DT1 or DT6, new arrivals
Other	Other classes	DT7	Spouses of DT1 or DT6, adjustments
Other	Other classes	DT3	Children of DT1 or DT6, new arrivals
Other	Other classes	DT8	Children of DT1 or DT6, adjustments
Other	Other classes	MR0	Parents of U.S. citizens presumed to be lawful permanent resident aliens - Northern Mariana Islands, adjustments
Other	Other classes	MR6	Spouses of U.S. citizens presumed to be lawful permanent resident aliens - Northern Mariana Islands, adjustments
Other	Other classes	MR7	Children of U.S. citizens presumed to be lawful permanent resident aliens - Northern Mariana Islands, adjustments
Other	Other classes	NP8	Alien who filed and was qualified with investor status prior to June 1, 1978
Other	Other classes	NP9	Spouses or children of NP8, adjustments
Other	Other classes	RN6	Certain former H1 nonimmigrant registered nurses, adjustments
Other	Other classes	RN7	Spouses or children of RN6, adjustments
Other	Other classes	SC1	Lost citizenship through marriage, new arrivals
Other	Other classes	SC6	Lost citizenship through marriage, adjustments
Other	Other classes	SC2	Lost citizenship through serving in foreign armed forces, new arrivals
Other	Other classes	SC7	Lost citizenship through serving in foreign armed forces, adjustments
Other	Other classes	SI1	Special immigrant interpreters who are nationals of Iraq or Afghanistan, new arrivals
Other	Other classes	SI6	Special immigrant interpreters who are nationals of Iraq or Afghanistan, adjustments
Other	Other classes	SI2	Spouses of SI1 or SI6, new arrivals
Other	Other classes	SI7	Spouses of SI1 or SI6, adjustments
Other	Other classes	SI3	Children of SI1 or SI6, new arrivals
Other	Other classes	SI8	Children of SI1 or SI6, adjustments
Other	Other classes	SM1	U.S. Armed Forces personnel, service (12 years) after 10/1/91, new arrivals
Other	Other classes	SM6	U.S. Armed Forces personnel, service (12 years) after 10/1/91, adjustments
Other	Other classes	SM4	U.S. Armed Forces personnel, service (12 years) by 10/91, new arrivals
Other	Other classes	SM9	U.S. Armed Forces personnel, service (12 years) by 10/91, adjustments
Other	Other classes	SM2	Spouses of SM1 or SM6, new arrivals
Other	Other classes	SM7	Spouses of SM1 or SM6, adjustments
Other	Other classes	SM5	Spouses or children of SM4 or SM9, new arrivals
Other	Other classes	SM0	Spouses or children of SM4 or SM9, adjustments
Other	Other classes	SM3	Children of SM1 or SM6, new arrivals
Other	Other classes	SM8	Children of SM1 or SM6, adjustments
Other	Other classes	SQ1	Certain Iraqis and Afghans employed by U.S. Government, new arrivals
Other	Other classes	SQ6	Certain Iraqis and Afghans employed by U.S. Government, adjustments
Other	Other classes	SQ2	Spouses of SQ1 or SQ6, new arrivals
Other	Other classes	SQ7	Spouses of SQ1 or SQ6, adjustments
Other	Other classes	SQ3	Children of SQ1 or SQ6, new arrivals
Other	Other classes	SQ8	Children of SQ1 or SQ6, adjustments
Other	Other classes	ST6	Adjustment of T1 nonimmigrant
Other	Other classes	ST7	Adjustment of T2 nonimmigrant
Other	Other classes	ST8	Adjustment of T3 nonimmigrant
Other	Other classes	ST0	Adjustment of T4 nonimmigrant
Other	Other classes	ST9	Adjustment of T5 nonimmigrant
Other	Other classes	SU2	Spouses of SU6, new arrivals
Other	Other classes	SU3	Children of SU6, new arrivals
Other	Other classes	SU5	Parents of SU6, new arrivals
Other	Other classes	SU6	Adjustment of U1 nonimmigrant
Other	Other classes	SU7	Adjustment of U2 nonimmigrant
Other	Other classes	SU8	Adjustment of U3 nonimmigrant
Other	Other classes	SU0	Adjustment of U4 nonimmigrant
Other	Other classes	SU9	Adjustment of U5 nonimmigrant
Other	Other classes	W46	Late amnesty applicants (Immigration Reform and Control Act)
Other	Other classes	XB3	Presumed lawfully admitted for permanent residence
Other	Other classes	XA3	Children born subsequent to issuance of parent's non-quota visa, new arrivals
Other	Other classes	XE3	Children born subsequent to issuance of parent's employment-based preference visa, new arrivals
Other	Other classes	XF3	Children born subsequent to issuance of parent's family-sponsored preference visa, new arrivals
Other	Other classes	XR3	Children born subsequent to issuance of parent's immediate relative of U.S. citizen visa, new arrivals
Other	Other classes	XN3	Children born subsequent to issuance of parent's visa other, new arrivals
Other	Other classes	Z43	Private bill, adjustments
Other	Other classes	Z33	Entered before 7/1/24, Section 249, P.L. 89-236, adjustments
Other	Other classes	Z03	Entered 7/1/24-6/28/40, Section 249, P.L. 89-236, adjustments
Other	Other classes	Z66	Entered 6/29/40-1/1/72, Section 249, P.L. 89-236, adjustments
Other	Other classes	Z83	Foreign government official who is immediate relative of U.S. citizen or special immigrant
